ID,Lon,Lat,WS,WE,TS,TE,Duration
P-049703,-73.91552,40.82471,1,6,19:00,08:00,1
P-132428,-73.9175,40.84634,1,5,18:00,10:00,88
P-149191,-72.02306,44.41655,1,6,08:00,19:00,1
P-149195,-105.0083,39.55573,1,6,08:30,19:00,1
P-232907,-73.90763,40.88444,1,6,08:00,19:00,2
P-233956,-73.92469466,40.79822625,1,6,08:00,18:00,1
P-297766,-73.92416225,40.79792354,1,6,08:00,17:00,1
P-297779,-73.97109809,40.78101576,1,6,08:00,18:00,2
P-298051,-74.00062514,40.71164479,1,6,08:30,18:00,1
P-298785,-73.98269292,40.72175501,1,6,19:00,07:00,1
P-299064,-74.00672667,40.71289581,1,6,08:00,18:00,2
P-299313,-73.96799049,40.77865379,1,6,08:00,18:00,1
P-299327,-73.98905314,40.77111927,1,6,08:30,19:00,1
P-299983,-73.92459451,40.79182787,1,6,08:00,18:00,2
P-299996,-73.87078569,40.76486851,1,6,08:00,18:00,1
P-305522,-73.94550649,40.75339559,1,6,08:00,18:00,1
P-306694,-73.95279061,40.74386139,1,6,08:30,18:00,1
P-306695,-73.98943661,40.69998034,1,6,08:00,19:00,1
P-306696,-73.92718798,40.82454818,1,5,08:00,18:00,2
P-306698,-73.92401625,40.77753719,1,5,08:00,18:00,1
P-308171,-73.98938653,40.69995998,1,6,08:00,19:00,1
P-308924,-73.96435447,40.67149731,1,5,08:00,19:00,1
P-309074,-73.97213874,40.66552082,1,6,08:00,18:00,1
P-315080,-73.97049668,40.64940932,1,5,08:00,18:00,1
P-315104,-73.9884724,40.69943623,1,6,08:00,18:00,1
P-315790,-74.20442728,40.55221719,1,6,08:00,20:00,1
P-315791,-73.97094019,40.6495259,1,6,19:00,08:00,2
P-315793,-73.94548428,40.69918245,1,6,08:00,18:00,66
P-315796,-73.97452167,40.66478698,1,5,08:00,18:00,1
P-315797,-73.96425955,40.6652705,1,5,08:00,18:00,1
P-315798,-73.84889846,40.7594296,1,5,08:00,18:00,2
P-315799,-73.74925236,40.76422214,1,5,08:00,18:00,1
P-319668,-73.74811465,40.76430963,1,5,08:00,18:00,1
P-319669,-73.85807532,40.76120426,1,6,08:00,18:00,1
P-319672,-73.79249624,40.78649631,1,6,08:00,18:00,2
P-319915,-73.790527,40.78869165,1,6,08:00,18:00,1
P-320318,-73.78165348,40.79080062,1,6,08:00,18:00,1
P-320329,-73.77585342,40.79396949,1,6,08:00,18:00,2
P-321502,-73.84302837,40.76329008,1,6,08:00,19:00,1
P-321503,-73.76974427,40.77251672,1,7,08:00,18:30,1
P-321504,-74.10111773,40.56009577,1,6,08:00,18:00,2
P-322347,-73.8505213,40.75899932,1,6,08:00,18:00,2
P-322353,-73.82967673,40.7660188,1,6,08:00,18:00,1
P-324001,-73.86964847,40.7583368,1,5,08:00,18:00,1
P-325701,-73.77690756,40.79338342,1,6,08:00,18:00,2
P-326302,-73.78005643,40.79295877,1,7,08:00,18:00,1
P-327448,-73.7806702,40.79280029,1,6,09:00,19:00,1
P-328636,-73.74175594,40.76687152,1,5,19:00,08:00,2
