Facility.Name,Facility.Street,latitude,longitude
ACCEDE INC          ,255 E 125TH STREET  ,40.803091,-73.933731
ABC ERICSON         ,557 WEST 37TH STREET,40.757478,-74.00005
A 1 ALL GERMAN CAR  ,400 W 219 ST        ,40.49493,-84.447984
A1 NY COLLISION INC ,528 W 39TH STREET   ,39.056091,-94.59295
ACURA OF MANHATTAN  ,608 WEST 57TH STREET,40.770574,-73.992375
ACTIVE AUTO REPAIR  ,324 EAST 95TH STREET,40.782812,-73.94638
ADS COLLISION INC   ,540 WEST 38TH ST    ,40.757722,-73.999338
ALLOY WHEEL REPAIR  ,677 11TH AVENUE     ,43.13144,-95.160432
ALLSTATE SERVICE    ,309 11TH AVE        ,41.884812,-87.846128
ALEGRIA BODY SHOP   ,3769 10TH AV        ,40.861042,-73.920942
APEX AUTO REPAIR &  ,255 E 125TH STREET  ,40.803091,-73.933731
APRILIA NEW YORK    ,155 AVE OF THE AMRCS,40.725395,-74.004804
AUTOBAHN SERVICE CTR,1767 PARK AVE       ,40.803228,-73.939904
AUTO CLINIC & BODY  ,546 WEST 48 STREET  ,43.466754,-85.814309
AUTO TREND BARN INC ,1908 PARK AVENUE    ,40.808197,-73.937253
AWRS HOLDING INC    ,245 EAST 124TH ST 8E,40.802471,-73.93449
BEAR AUTOMOTIVE &   ,279 10TH AVENUE     ,40.749925,-74.002997
BMW OF MANHATTAN INC,793-805 11TH AVE    ,43.129314,-95.160632
BODY PRO OF NEW YORK,547-B W 133RD ST    ,40.818621,-73.954963
BISMILLAH MOBIL INC ,718 11TH AV         ,43.131575,-95.160313
BODY SHOP           ,246-250 WEST 61 ST  ,34.506737,-109.368629
BMW OF MANHATTAN INC,555 W 57TH ST       ,40.770435,-73.990484
BROADWAY BRIDGE LLC ,5134 BROADWAY       ,40.87202,-73.912482
BROWNFELD AUTO      ,298 11TH AV         ,43.134003,-95.157388
BROADWAY COLLISION &,2455 1ST AVENUE     ,40.802424,-73.930972
BROADWAY MOTORS INC ,2451 1ST AVENUE     ,40.802437,-73.931244
BROADWAY SERVICE    ,3260 BROADWAY       ,40.817493,-73.956356
BROADWAY SS INC     ,4275 BROADWAY       ,40.851019,-73.935725
BROADWAY MECHANIC   ,5060 BROADWAY       ,40.869955,-73.915241
BRONX STARS AUTO    ,3230 JEROME AVENUE  ,40.878017,-73.886143
CARLOS M DIAZ AUTO  ,3966 10TH AVENUE    ,42.03609,-91.568526
CELIN AUTO ELECTRIC ,3906 10TH AVE       ,36.417675,-119.636723
CJV AUTO REPAIR &   ,529 WEST 134TH ST   ,40.819397,-73.954793
CHANDLER AUTO REPAIR,1908 PARK AVENUE    ,40.808197,-73.937253
CIBAO AUTO REPAIR   ,185 E 109TH STREET  ,40.793811,-73.943549
CENTRAL PARK WEST   ,2040 8TH AVE        ,40.800919,-73.957445
CHOYSUNG AUTO INC   ,300 BROOME ST       ,40.71891,-73.992109
CONTINENTAL AUTO BDY,310 EAST 126TH ST   ,39.971505,-86.122007
CYCLE THERAPY NYC   ,208 EAST 127TH ST   ,40.804625,-73.93425
CYBERT TIRE CORP    ,726 11 AV           ,43.131517,-95.16035
D&DS IMPRESSIVE AUTO,334 EAST 126TH ST   ,40.802498,-73.931493
DANNYS TOWING INC   ,542 WEST 49TH STREET,40.764715,-73.994399
DUCATI TRIUMPH NEW  ,155 AVE OF AMERICAS ,40.725395,-74.004804
DON GLO AUTO SERVICE,409-417 W 218 ST    ,47.800464,-122.238864
EAST SIDE AUTO INC  ,213-223 E 125TH ST  ,40.803529,-73.934857
E&M AUTO BODY       ,613 11TH AVENUE     ,33.455539,-112.086945
E&M AUTO CENTER LLC ,613 11TH AVE        ,33.455539,-112.086945
EAST SIDE AUTO      ,348 EAST 106TH ST   ,40.789534,-73.940449
ELEVENTH AVENUE     ,545 WEST 37TH ST    ,36.879372,-76.290157
EVAN AUTO INC       ,319 10TH AVE        ,40.751279,-74.002004
F&B AUTO REPAIR     ,601 W 44TH STREET   ,41.867511,-80.787475
FOREIGN TRIX INC    ,431 W 202ND ST      ,40.86131,-73.920194
FRAN MANAGEMENT LLC ,3740 BROADWAY       ,40.832952,-73.945248
FINEST COLLISION    ,409 WEST 218TH ST   ,40.870879,-73.912607
FORDHAM TOYOTA      ,235 WEST 154TH ST   ,40.828061,-73.936093
FIRST AVE & 117TH ST,2276 FIRST AVENUE   ,40.796841,-73.934664
GLEN AUTO INC       ,90 DIVISION STREET  ,40.714391,-73.993646
GLEN AUTO SERVICES& ,90 DIVISION STREET  ,40.714391,-73.993646
